Name	CheckpointCER	LearningIteration	TrainingIteration	EvalCER	IterationCER	ValidationCER
		100	100		59.371	
		200	200		46.221	
		300	300		38.643	
		399	400		33.477	
		499	500		30.374	
		596	600		27.718	
		694	700		25.687	
		791	800		24.152	
		888	900		22.84	
		985	1000		21.955	
		1082	1100		17.261	
		1179	1200		15.237	
		1273	1300		14.041	
		1371	1400		13.343	
		1465	1500		12.591	
		1556	1600		12.227	
		1653	1700		12.086	
		1747	1800		11.901	
		1837	1900		11.741	
		1931	2000		11.49	
		2025	2100		11.346	
		2114	2200		11.276	
		2210	2300		11.36	
		2297	2400		11.181	
		2387	2500		11.2	
		2478	2600		11.107	
		2567	2700		10.935	
		2655	2800		10.864	
		2747	2900		10.65	
		2837	3000		10.523	
		2932	3100		10.499	
		3025	3200		10.702	
		3115	3300		10.503	
		3208	3400		10.573	
		3299	3500		10.762	
		3390	3600		10.86	
		3473	3700		10.702	
		3560	3800		10.469	
		3647	3900		10.452	
		3737	4000		10.369	
		3831	4100		10.384	
		3920	4200		9.853	
		4012	4300		9.756	
		4103	4400		9.687	
		4190	4500		9.322	
		4283	4600		9.195	
		4366	4700		9.187	
		4446	4800		9.043	
		4531	4900		9.136	
		4621	5000		9.132	
		4699	5100		8.824	
		4790	5200		8.941	
		4877	5300		8.824	
		4967	5400		8.798	
		5054	5500		8.814	
		5146	5600		8.807	
		5233	5700		8.907	
		5327	5800		9.261	
		5410	5900		9.12	
		5495	6000		8.934	
		5575	6100		8.907	
		5663	6200		8.929	
		5750	6300		8.947	
		5831	6400		8.749	
		5914	6500		8.631	
		5998	6600		8.477	
		6083	6700		8.31	
		6170	6800		8.015	
		6252	6900		7.963	
		6339	7000		8.072	
		6423	7100		8.069	
		6503	7200		7.773	
		6588	7300		7.746	
		6669	7400		7.872	
		6758	7500		8.124	
		6836	7600		7.986	
		6922	7700		8.172	
		7000	7800		8.098	
		7086	7900		8.223	
		7165	8000		8.11	
		7248	8100		8.038	
		7336	8200		8.123	
		7410	8300		7.994	
		7492	8400		7.902	
		7576	8500		7.707	
		7662	8600		7.786	
		7745	8700		7.472	
		7836	8800		7.83	
		7916	8900		7.671	
		7994	9000		7.576	
		8075	9100		7.688	
		8155	9200		7.694	
		8237	9300		7.846	
		8321	9400		7.882	
		8406	9500		7.914	
		8491	9600		7.921	
		8573	9700		8.045	
		8653	9800		7.78	
		8731	9900		7.904	
		8813	10000		7.967	
		8894	10100		7.896	
		8975	10200		7.793	
		9051	10300		7.714	
		9128	10400		7.63	
		9210	10500		7.423	
		9295	10600		7.406	
		9381	10700		7.68	
		9465	10800		7.598	
		9544	10900		7.416	
		9633	11000		7.42	
		9713	11100		7.476	
		9791	11200		7.321	
		9870	11300		7.217	
		9945	11400		7.129	
		10021	11500		7.115	
		10102	11600		7.165	
		10184	11700		6.83	
		10268	11800		6.863	
		10352	11900		6.907	
		10431	12000		6.867	
		10503	12100		6.693	
		10580	12200		6.888	
		10663	12300		6.955	
		10741	12400		7.096	
		10824	12500		7.27	
		10897	12600		7.144	
		10981	12700		7.191	
		11062	12800		7.22	
		11134	12900		7.262	
		11209	13000		7.286	
		11286	13100		7.25	
		11368	13200		7.196	
		11446	13300		7.38	
		11517	13400		7.306	
		11591	13500		7.223	
		11674	13600		7.279	
		11754	13700		7.474	
		11839	13800		7.48	
		11915	13900		7.448	
		11990	14000		7.733	
		12068	14100		7.82	
		12141	14200		7.808	
		12205	14300		7.402	
		12282	14400		7.418	
		12358	14500		7.312	
		12440	14600		7.335	
		12514	14700		7.081	
		12596	14800		6.933	
		12666	14900		6.833	
		12741	15000		6.508	
		12822	15100		6.507	
		12889	15200		6.478	
		12959	15300		6.592	
		13037	15400		6.497	
		13114	15500		6.59	
		13182	15600		6.508	
		13261	15700		6.416	
		13335	15800		6.452	
		13416	15900		6.518	
		13495	16000		6.522	
		13568	16100		6.491	
		13644	16200		6.436	
		13728	16300		6.665	
		13801	16400		6.707	
		13878	16500		6.58	
		13944	16600		6.5	
		14011	16700		6.601	
		14084	16800		6.564	
		14165	16900		6.529	
		14237	17000		6.422	
		14308	17100		6.426	
		14386	17200		6.471	
		14463	17300		6.236	
		14533	17400		6.215	
		14597	17500		6.184	
		14674	17600		6.272	
		14748	17700		6.145	
		14829	17800		6.17	
		14903	17900		6.085	
		14977	18000		6.249	
		15050	18100		6.183	
		15125	18200		6.209	
		15193	18300		6.23	
		15271	18400		6.311	
		15345	18500		6.415	
		15412	18600		6.258	
		15484	18700		6.233	
		15562	18800		6.19	
		15634	18900		6.203	
		15704	19000		6.042	
		15787	19100		6.087	
